method,image_index,any_trigger_succeeded,frac_triggers_succeeded
TOAP,3241,False,0.0
TOAP,3243,False,0.0
TOAP,3249,False,0.0
TOAP,3252,False,0.0
TOAP,3259,False,0.0
TOAP,3281,False,0.0
TOAP,3302,False,0.0
TOAP,3303,False,0.0
TOAP,3304,False,0.0
TOAP,3308,False,0.0
TOAP,3313,False,0.0
TOAP,3353,False,0.0
TOAP,3374,False,0.0
TOAP,3382,False,0.0
TOAP,3414,False,0.0
TOAP,3422,False,0.0
TOAP,3427,False,0.0
TOAP,3431,False,0.0
TOAP,3462,False,0.0
TOAP,3496,False,0.0
TOAP,3499,False,0.0
TOAP,3528,False,0.0
TOAP,3552,False,0.0
TOAP,3570,False,0.0
TOAP,3579,False,0.0
TOAP,3582,False,0.0
TOAP,3585,False,0.0
TOAP,3621,False,0.0
TOAP,3628,False,0.0
TOAP,3643,False,0.0
TOAP,3654,False,0.0
TOAP,3673,False,0.0
TOAP,3710,False,0.0
TOAP,3727,False,0.0
TOAP,3731,False,0.0
TOAP,3741,False,0.0
TOAP,3775,False,0.0
TOAP,3780,False,0.0
TOAP,3783,False,0.0
TOAP,3785,False,0.0
TOAP,3791,False,0.0
TOAP,3793,False,0.0
TOAP,3816,False,0.0
TOAP,3831,False,0.0
TOAP,3844,False,0.0
TOAP,3857,False,0.0
TOAP,3863,False,0.0
TOAP,3878,False,0.0
TOAP,3891,False,0.0
TOAP,3901,False,0.0
TOAP,3911,False,0.0
TOAP,3926,False,0.0
TOAP,3928,False,0.0
TOAP,3957,False,0.0
TOAP,3996,False,0.0
TOAP,3999,False,0.0
TOAP,4019,False,0.0
TOAP,4020,False,0.0
TOAP,4023,False,0.0
TOAP,4034,False,0.0
TOAP,4071,False,0.0
TOAP,4078,False,0.0
TOAP,4103,False,0.0
TOAP,4163,False,0.0
TOAP,4173,False,0.0
TOAP,4188,False,0.0
TOAP,4243,False,0.0
TOAP,4262,False,0.0
TOAP,4279,False,0.0
TOAP,4345,False,0.0
TOAP,4356,False,0.0
TOAP,4418,False,0.0
TOAP,4432,False,0.0
TOAP,4433,False,0.0
TOAP,4480,False,0.0
TOAP,4493,False,0.0
TOAP,4536,False,0.0
TOAP,4619,False,0.0
TOAP,4640,False,0.0
TOAP,4649,False,0.0
TOAP,4651,False,0.0
TOAP,4739,False,0.0
TOAP,4755,False,0.0
TOAP,4799,False,0.0
TOAP,4800,False,0.0
TOAP,4853,False,0.0
TOAP,4857,False,0.0
TOAP,4871,False,0.0
TOAP,4885,False,0.0
TOAP,4892,False,0.0
TOAP,4945,False,0.0
TOAP,4955,False,0.0
TOAP,4965,False,0.0
TOAP,4995,False,0.0
